issue_id,title,description,issue_type,priority,status,story_points,duration_days,created_date,due_date,assignee,project
PROJ-1000,Handle edge case in user validation,Users are experiencing UI freeze when trying to syncing data. This affects mobile users. Steps to reproduce: 1) Navigate to activity feed 2) Perform syncing data 3) Observe the error.,Bug,Highest,Done,1,14,2024-01-17,2024-01-31,user_3,Project-Delta
PROJ-1001,Implement lazy loading for file upload,Build sprint planning with proper error boundaries and loading states. Follow atomic design principles.,Frontend,Medium,To Do,6,30,2024-01-04,2024-02-03,user_14,Project-Zeta
PROJ-1002,Create backup strategy for task database,DevOps task: Set up infrastructure for permissions in auth. Must follow security best practices and be documented in the runbook.,Devops,High,Done,6,20,2024-01-23,2024-02-12,user_18,Project-Beta
PROJ-1003,Update kanban error messages,Technical debt item: dashboard needs saving data. This will improve maintainability and reduce future bugs.,Task,High,In Review,2,13,2024-02-10,2024-02-23,user_4,Project-Eta
PROJ-1004,Add comments search and filter,We need to implement calendar in the inventory module. This will allow users to uploading files and significantly improve productivity.,Feature,Low,In Progress,11,56,2024-09-30,2024-11-25,user_6,Project-Theta
PROJ-1005,Update data export error messages,Routine maintenance task: saving data in the sprint module. Ensure all tests pass after changes.,Task,Low,In Progress,4,24,2024-02-03,2024-02-27,user_19,Project-Zeta
PROJ-1006,Configure CI/CD for inventory pipeline,Technical debt item: sprint needs syncing data. This will improve maintainability and reduce future bugs.,Task,Highest,To Do,4,12,2024-10-26,2024-11-07,user_19,Project-Eta
PROJ-1007,Debug flaky test in sprint,Users are experiencing timeout exception when trying to filtering results. This affects new signups. Steps to reproduce: 1) Navigate to user management 2) Perform filtering results 3) Observe the error.,Bug,Highest,In Progress,1,14,2024-08-04,2024-08-18,user_13,Project-Eta
PROJ-1008,Implement kanban responsive grid layout,"Frontend implementation: Build the data export component for inventory. Must be reusable, accessible (WCAG 2.1), and work across all supported browsers.",Frontend,Low,To Do,4,25,2024-06-23,2024-07-18,user_10,Project-Eta
PROJ-1009,Create onboarding docs for task board,"Documentation task: Write comprehensive docs for comments in profile. Include code examples, diagrams, and troubleshooting tips.",Docs,Medium,In Progress,5,23,2024-03-19,2024-04-11,user_6,Project-Alpha
PROJ-1010,Update sprint planning seed data,Sprint task: Complete submitting forms for task board. Coordinate with the team for any blocking dependencies.,Task,High,In Progress,5,18,2025-01-09,2025-01-27,user_3,Project-Gamma
PROJ-1011,Implement inventory state management,Build data export with proper error boundaries and loading states. Follow atomic design principles.,Frontend,High,To Do,4,18,2024-07-23,2024-08-10,user_15,Project-Theta
PROJ-1012,Build search notification system,We need to implement search in the billing module. This will allow users to saving data and significantly improve productivity.,Feature,High,In Progress,6,30,2024-01-31,2024-03-01,user_3,Project-Alpha
PROJ-1013,Implement role-based access for kanban,We need to implement reporting in the payment module. This will allow users to generating reports and significantly improve productivity.,Feature,Medium,To Do,11,47,2025-02-05,2025-03-24,user_14,Project-Delta
